cod_prod,descr_resumida,descr_detalhada,preco,unidade
514GBR1009,GBR 514 BP CZA CT RO PLK,RODIZIO DE AÇO GIRATORIO DE BASE LINHA REFORÇADA 130X110 COM RODA 514 BP CINZA CALOTA PARLOCK,51.2,PECA
514GBR1101,GBR 514 GP PLK,RODIZIO DE AÇO GIRATORIO DE BASE LINHA REFORÇADA 130X110 SEM RODA 514 COM PARAFUSO E PORCA PARLOCK,34.56,PECA
514GBR1623,GBR 52 GP PLK,RODIZIO DE AÇO GIRATORIO DE BASE SEM RODA 52 COM PARAFUSO E PORCA,35.1,PECA
514GBR1636,GBR 514 FERRO PLK,RODIZIO DE AÇO GIRATORIO DE BASE LINHA REFORÇADA 130X110 COM RODA 514 FERRO  PARLOCK,73.6,PECA
514GBR1764,GBR 52 BP CZA CT RO PLK,RODIZIO DE AÇO GIRATORIO DE BASE COM RODA 52 BP CINZA CALOTA E ROLAMENTO,57.89,PECA
514GBR1765,GBR 52 FE/PU RO PLK,RODIZIO DE AÇO GIRATORIO DE BASE COM RODA 52 FERRO COM POLIURETANO ROLAMENTO,107.66,PECA
514GBR1827,GBR 52 FERRO PLK,RODIZIO DE AÇO GIRATORIO DE BASE COM RODA 52 FERRO,71.8857,PECA
514GBR767,GBR 514 FE/PU RO PLK,RODIZIO DE AÇO GIRATORIO DE BASE LINHA REFORÇADA 130X110 COM RODA 514 FERRO COM POLIURETANO ROLAMENTO PARLOCK,97.77,PECA
514GBR996,GBR 514 FE/PU BU PLK,RODIZIO DE AÇO GIRATORIO DE BASE LINHA REFORÇADA 130X110 COM RODA 514 FERRO COM POLIURETANO BUCHA PARLOCK,88.35,PECA
514GEL1432,GE 514 BP CZA CT PLK 25,RODIZIO DE AÇO GIRATORIO DE ESPIGA 1/2X25MM  LINHA LEVE COM RODA 514 BP CINZA COM CALOTA,18.5,PECA
514GEL1433,GE 514 GP PLK 25,RODIZIO DE AÇO GIRATORIO DE ESPIGA 1/2X25MM LINHA LEVE SEM RODA 514 COM PARAFUSO E PORCA,13.35,PECA
514GEL1434,GE 514 FE/PU BU PLK 25,RODIZIO DE AÇO GIRATORIO DE ESPIGA 1/2X25MM LINHA LEVE COM RODA 514 FERRO COM BUCHA,68.67,PECA
514GEL1696,GE 514 BP CZA CT RO PLK 25,RODIZIO DE AÇO GIRATORIO DE ESPIGA 1/2X25MM LINHA LEVE COM RODA 514 BP CINZA COM CALOTA E ROLAMENTO,20.64,PECA
514GEL1697,GE 514 FE/PU RO PLK 25,RODIZIO DE AÇO GIRATORIO DE ESPIGA 1/2X25MM LINHA LEVE COM RODA 514 FERRO COM POLIURETANO,78.1,PECA
514GEL1698,GE 514 FERRO PLK 25,RODIZIO DE AÇO GIRATORIO DE ESPIGA 1/2X25MM LINHA LEVE COM RODA 514 FERRO,53.4,PECA
514GEL1699,GE 514 PP PTA CT RO PLK 25,RODIZIO DE AÇO GIRATORIO DE ESPIGA 1/2X25MM LINHA LEVE COM RODA 514 PP PRETA COM CALOTA E ROLAMENTO,26.5,PECA
514GEL2141,GE 514 NY BCA CT RO 25 PLK,RODIZIO DE AÇO GIRATORIO DE ESPIGA 1/2X25MM LINHA LEVE COM RODA 514 NY BCA COM CALOTA E ROLAMENTO,51.48,PECA
514GER1010,GER 514 FE/PU RO PLK 25,RODIZIO DE AÇO GIRATORIO DE ESPIGA 1/2X25MM LINHA REFORÇADA COM RODA 514 FERRO COM POLIURETANO ROLAMENTO PARLOCK,97.77,PECA
514GER1021,GER 514 GP PLK 25,RODIZIO DE AÇO GIRATORIO DE ESPIGA 1/2X25MM LINHA REFORÇADA SEM RODA 514 COM PARAFUSO E PORCA PARLOCK,34.56,PECA
514RO1335,RO 514 BP CZA CT,RODA 514 BP CINZA COM CALOTA,6.1,PECA
514RO1334,RO 514 BP CZA CT RO,RODA 514 BP CINZA COM CALOTA E ROLAMENTO,8.34,PECA
514GER1100,GER 514 FE/PU BU PLK 25,RODIZIO DE AÇO GIRATORIO DE ESPIGA 1/2X25MM LINHA REFORÇADA COM RODA 514 FERRO COM POLIURETANO COM BUCHA E PORCA PARLOCK,88.34,PECA
514RO1614,RO 52 BP CZA RO,RODA 52 BP CINZA ROLAMENTO,25.66,PECA
